79	87	36	88	76	88	73	63	2	76
34	0	35	6	88	97	22	83	44	91
49	39	57	69	74	13	90	72	7	1
95	71	80	15	54	63	55	72	87	51
65	84	36	53	73	71	87	41	48	66
4	70	13	64	69	51	94	55	83	73
29	97	28	50	99	53	45	53	22	22
31	50	86	52	71	10	52	25	91	52
81	79	53	50	69	96	47	79	68	15
42	98	76	87	79	17	23	4	46	13
47	4	13	28	74	63	76	12	104	30
78	72	87	79	7	63	21	18	11	25
3	52	5	102	50	16	54	30	42	104
82	30	32	82	70	18	72	11	100	54
68	92	50	44	15	59	81	85	61	84
67	22	74	16	67	104	29	76	104	10
0	58	72	10	69	79	62	33	77	55
91	87	84	77	61	82	93	90	62	36
9	25	45	12	44	13	26	60	81	99
16	73	81	12	90	69	54	100	57	52
97	22	71	81	3	85	59	35	93	40
61	70	50	38	18	98	34	19	46	70
30	28	32	2	94	73	23	72	50	15
8	40	103	26	8	62	60	16	10	71
85	29	34	65	11	103	15	79	75	77
75	42	65	24	31	101	86	60	79	102
34	42	0	18	3	43	57	42	9	61
23	46	97	97	46	103	93	12	42	37
54	80	69	69	22	0	28	33	9	95
89	99	79	88	45	8	46	50	81	17
29	47	16	11	1	88	79	98	28	76
50	90	13	49	68	42	105	56	24	28
94	10	27	90	92	38	70	58	88	53
84	3	77	39	4	6	28	41	48	68
28	16	7	64	85	104	99	11	1	28
14	78	60	41	35	1	8	86	68	19
75	37	64	95	33	3	79	96	20	2
13	66	85	0	6	64	49	23	59	75
26	97	30	15	71	41	98	105	50	77
28	42	48	62	75	8	28	17	102	86
75	100	94	72	39	86	3	65	82	68
95	36	37	74	79	70	68	44	82	38
52	40	34	76	60	39	64	76	54	101
8	86	23	14	81	83	22	27	54	34
77	75	52	79	89	65	68	14	1	9
86	79	99	83	53	47	77	71	35	58
63	47	64	102	33	27	63	38	92	52
92	7	43	74	20	37	11	27	67	73
56	100	24	52	105	5	92	36	28	1
63	34	28	21	29	9	48	47	78	33
