Name:Kevin Davis 
Course:CS1044, Spring 2018, Dr.Johnson 

Purpose:This program reads numbers from a file and counts how many 
times each number occurs.It then lists them is ascending order 
based on number of occurrence then finds the mode. 

Integer  Frequency 

     79 |   14
     28 |   13
     50 |   10
     52 |    9
     42 |    8
     68 |    8
     76 |    8
     13 |    7
     22 |    7
     34 |    7
     54 |    7
     63 |    7
     69 |    7
     71 |    7
     72 |    7
     75 |    7
     77 |    7
     81 |    7
     86 |    7
      1 |    6
      3 |    6
      8 |    6
     11 |    6
     15 |    6
     16 |    6
     47 |    6
     53 |    6
     64 |    6
     70 |    6
     73 |    6
     87 |    6
     88 |    6
     97 |    6
      0 |    5
      9 |    5
     10 |    5
     23 |    5
     29 |    5
     30 |    5
     33 |    5
     36 |    5
     46 |    5
     60 |    5
     65 |    5
     74 |    5
     82 |    5
     85 |    5
     90 |    5
     92 |    5
     99 |    5
    104 |    5
      4 |    4
      7 |    4
     12 |    4
     18 |    4
     27 |    4
     35 |    4
     37 |    4
     38 |    4
     39 |    4
     41 |    4
     44 |    4
     48 |    4
     61 |    4
     62 |    4
     83 |    4
     84 |    4
     94 |    4
     95 |    4
     98 |    4
    100 |    4
    102 |    4
      2 |    3
      6 |    3
     14 |    3
     17 |    3
     24 |    3
     25 |    3
     26 |    3
     40 |    3
     45 |    3
     49 |    3
     55 |    3
     57 |    3
     58 |    3
     59 |    3
     67 |    3
     78 |    3
     91 |    3
     93 |    3
    103 |    3
    105 |    3
      5 |    2
     19 |    2
     20 |    2
     21 |    2
     31 |    2
     32 |    2
     43 |    2
     51 |    2
     56 |    2
     66 |    2
     80 |    2
     89 |    2
     96 |    2
    101 |    2

 The largest number that occured the most was 79 and it occured 14 times. 
